# rom	genre	players	orientation	parent	title	year	maker -- made by tools/make-gameinfo.py from FinalBurn Neo
santaball	Mini-games	2	horizontal		SantaBall - Christmas Tennis Game (HB)	2012	M.Priewe, NeoHomeBrew
sarge	Shooter	4	horizontal		Sarge	1985	Bally Midway
sarukani	Breakout	2	horizontal	vblokbrk	Saru-Kani-Hamu-Zou (Japan)	1997	Kaneko / Mediaworks
sasuke	Shooter	2	vertical		Sasuke vs. Commander (set 1)	1980	SNK
sasukea	Shooter	2	vertical	sasuke	Sasuke vs. Commander (set 2)	1980	SNK
satansat	Shooter	2	vertical		Satan of Saturn (set 1)	1981	SNK
satansata	Shooter	2	vertical	satansat	Satan of Saturn (set 2)	1981	SNK
satansatind	Shooter	2	vertical	satansat	Satan of Saturn (Inder S.A., bootleg)	1981	bootleg (Inder S.A.)
sathena	Platform	2	horizontal	athena	Super Athena (bootleg)	1987	bootleg
saturnzi	Shooter	2	vertical		Saturn	1983	Zilec Electronics / Jaleco
saurnfrnt	Horizontal shooter	2	horizontal	strkforc	Saurian Front (proto v5.0 8/07/90)	1991	Williams
sauro	Horizontal shooter	2	horizontal		Sauro (set 1)	1987	Tecfri
sauroa	Horizontal shooter	2	horizontal	sauro	Sauro (set 2)	1987	Tecfri
saurob	Horizontal shooter	2	horizontal	sauro	Sauro (set 3)	1987	Tecfri
saurobl	Horizontal shooter	2	horizontal	sauro	Sauro (bootleg)	1987	bootleg
sauroc	Horizontal shooter	2	horizontal	sauro	Sauro (set 4, easier)	1987	Tecfri
saurop	Horizontal shooter	2	horizontal	sauro	Sauro (Philko license)	1987	Tecfri (Philko license)
saurorr	Horizontal shooter	2	horizontal	sauro	Sauro (Recreativos Real S.A. license)	1987	Tecfri (Recreativos Real S.A. license)
savagere	Fighting	2	horizontal		Savage Reign / Fu'un Mokushiroku - Kakutou Sousei	1995	SNK
savagereb	Fighting	2	horizontal	savagere	Savage Reign / Fu'un Mokushiroku - Kakutou Sousei (Boss Hack)	1995	Yumeji, Dodowang[EGCG]
savagerp	Fighting	2	horizontal	savagere	Savage Reign / Fu'un Mokushiroku - Kakutou Sousei (Plus, Hack)	2015	hack
savgbees	Vertical shooter	2	vertical	exedexes	Savage Bees	1985	Capcom (Memetron license)
sb2003	Platform	2	horizontal		Super Bubble 2003 (World, Ver 1.0)	2003	Limenko
sb2003a	Platform	2	horizontal	sb2003	Super Bubble 2003 (Asia, Ver 1.0)	2003	Limenko
sbagman	Platform	2	vertical		Super Bagman (version 5)	1984	Valadon Automation
sbagman2	Platform	2	vertical	sbagman	Super Bagman (version 3?)	1984	Valadon Automation
sbagmani	Platform	2	vertical	sbagman	Super Bagman (Itisa, Spain)	1984	Valadon Automation (Itisa license)
sbagmans	Platform	2	vertical	sbagman	Super Bagman (Stern Electronics)	1984	Valadon Automation (Stern Electronics license)
sbasebal	Sports	2	horizontal		Super Champion Baseball (US)	1989	Alpha Denshi Co. (SNK of America license)
sbasebalj	Sports	2	horizontal	sbasebal	Super Champion Baseball (Japan)	1989	Alpha Denshi Co.
sbasketb	Sports	2	vertical		Super Basketball (version I, encrypted)	1984	Konami
sbaskete	Sports	2	vertical	sbasketb	Super Basketball (version E, encrypted)	1984	Konami
sbasketg	Sports	2	vertical	sbasketb	Super Basketball (version G, encrypted)	1984	Konami
sbasketga	Sports	2	vertical	sbasketb	Super Basketball (version G, encrypted, alt)	1984	Konami
sbasketh	Sports	2	vertical	sbasketb	Super Basketball (version H, unprotected)	1984	Konami
sbbros	Puzzle	2	horizontal	spang	Super Buster Bros. (USA 901001)	1990	Mitchell (Capcom license)
sbdk	Platform	2	vertical	superbik	Super Bike (DK conversion)	1984	Century Electronics
sbishi	Mini-games	2	horizontal		Super Bishi Bashi Champ (ver JAA, 2 Players)	1998	Konami
sbishik	Mini-games	2	horizontal	sbishi	Super Bishi Bashi Champ (ver KAB, 3 Players)	1998	Konami
sbishika	Mini-games	2	horizontal	sbishi	Super Bishi Bashi Champ (ver KAA, 3 Players)	1998	Konami
sboblbobl	Platform	2	horizontal	bublbobl	Super Bobble Bobble (bootleg, set 1)	1986	bootleg (Datsu)
sboblbobla	Platform	2	horizontal	bublbobl	Super Bobble Bobble (bootleg, set 2)	1986	bootleg
sboblboblb	Platform	2	horizontal	bublbobl	Super Bobble Bobble (bootleg, set 3)	1986	bootleg
sboblboblc	Platform	2	horizontal	bublbobl	Super Bubble Bobble (bootleg)	1986	bootleg
sboblbobld	Platform	2	horizontal	bublbobl	Super Bobble Bobble (bootleg, set 4)	1986	bootleg
sboblboble	Platform	2	horizontal	bublbobl	Super Bobble Bobble (bootleg, set 5)	1986	bootleg
sboblboblf	Platform	2	horizontal	bublbobl	Super Bobble Bobble (bootleg, set 6)	1986	bootleg
sbomber	Shooter	2	vertical		Space Bomber (ver. B)	1998	Psikyo
sbombera	Shooter	2	vertical	sbomber	Space Bomber	1998	Psikyo
sbowling	Sports	2	vertical		Strike Bowling	1982	Taito Corporation
sbp	Sports	2	horizontal		Super Bubble Pop	2004	Vektorlogic
sbsgomo	Horizontal shooter	2	horizontal	bioship	Space Battle Ship Gomorrah	1990	UPL
scessjoe	Fighting	2	horizontal		Success Joe (World)	1990	Taito Corporation / Wave
scfinals	Football	2	horizontal		Super Cup Finals (Ver 2.2O 1994/01/13, single PCB)	1993	Taito Corporation Japan
scfinalso	Football	2	horizontal	scfinals	Super Cup Finals (Ver 2.1O 1993/11/19, single PCB)	1993	Taito Corporation Japan
scfinalsoc	Football	2	horizontal	scfinals	Super Cup Finals (Ver 2.1O 1993/11/19, F3 Cartridge)	1993	Taito Corporation Japan
schmeisr	Fighting	2	horizontal		Schmeiser Robo (Japan)	1993	Hot-B
sci	Racing	2	horizontal		Special Criminal Investigation (World set 1)	1989	Taito Corporation Japan
scia	Racing	2	horizontal	sci	Special Criminal Investigation (World set 2)	1989	Taito Corporation Japan
scij	Racing	2	horizontal	sci	Special Criminal Investigation (Japan)	1989	Taito Corporation
scin	Racing	2	horizontal	sci	Super Special Criminal Investigation (Negro Torino hack)	1991	hack (Negro Torino)
scion	Vertical shooter	2	horizontal		Scion	1984	Seibu Denshi
scionc	Vertical shooter	2	horizontal	scion	Scion (Cinematronics)	1984	Seibu Denshi (Cinematronics license)
sciu	Racing	2	horizontal	sci	Special Criminal Investigation (US)	1989	Taito America Corporation
scobra	Horizontal shooter	2	vertical		Super Cobra	1981	Konami
scobrab	Horizontal shooter	2	vertical	scobra	Super Cobra (bootleg, set 1)	1981	bootleg (Karateco)
scobrae	Horizontal shooter	2	vertical	scobra	Super Cobra (Stern Electronics) (encrypted, KONATEC XC-103SS CPU)	1981	Konami (Stern Electronics license)
scobrae2	Horizontal shooter	2	vertical	scobra	Super Cobra (encrypted)	1981	Konami
scobrag	Horizontal shooter	2	vertical	scobra	Super Cobra (bootleg, set 2)	1981	bootleg (A.V.G. by Zaccaria)
scobraggi	Horizontal shooter	2	vertical	scobra	Super Cobra (bootleg, set 3)	1981	bootleg (Cocamatic)
scobras	Horizontal shooter	2	vertical	scobra	Super Cobra (Stern Electronics)	1981	Konami (Stern Electronics license)
scobrase	Horizontal shooter	2	vertical	scobra	Super Cobra (Sega)	1981	Konami (Sega license)
scontra	Run & gun	2	vertical		Super Contra (set 1)	1988	Konami
scontraa	Run & gun	2	vertical	scontra	Super Contra (set 2)	1988	Konami
scontraj	Run & gun	2	vertical	scontra	Super Contra: Alien no Gyakushuu (Japan)	1988	Konami
scorpion	Horizontal shooter	2	vertical		Scorpion (set 1)	1982	Zaccaria
scorpiona	Horizontal shooter	2	vertical	scorpion	Scorpion (set 2)	1982	Zaccaria
scorpionb	Horizontal shooter	2	vertical	scorpion	Scorpion (set 3)	1982	Zaccaria
scorpionmc	Horizontal shooter	2	vertical	scorpion	Scorpion (Moon Cresta hardware)	19??	bootleg? (Dorneer)
scotrsht	Horizontal shooter	2	vertical		Scooter Shooter	1985	Konami
scramb2	Horizontal shooter	2	vertical	scramble	Scramble (bootleg, set 1)	1981	bootleg
scramblb	Horizontal shooter	2	vertical	scramble	Scramble (bootleg on Galaxian hardware)	1981	bootleg
scramble	Horizontal shooter	2	vertical		Scramble	1981	Konami
scramblebb	Horizontal shooter	2	vertical	scramble	Scramble (bootleg?)	1981	bootleg?
scramblebf	Horizontal shooter	2	vertical	scramble	Scramble (Karateco, French bootleg)	1981	bootleg (Karateco)
scrambler	Horizontal shooter	2	vertical	scramble	Scramble (Reben S.A. Spanish bootleg)	1981	bootleg (Reben S.A.)
scrambles	Horizontal shooter	2	vertical	scramble	Scramble (Stern Electronics, set 1)	1981	Konami (Stern Electronics license)
scrambp	Horizontal shooter	2	vertical	scramble	Impacto (Billport S.A., Spanish bootleg of Scramble)	1981	bootleg (Billport S.A.)
scramce	Horizontal shooter	2	vertical	scramble	Scramble (Centromatic S.A., Spanish bootleg)	1981	bootleg (Centromatic S.A.)
scrampt	Horizontal shooter	2	vertical	scramble	Scramble (Petaco S.A., Spanish bootleg)	1981	bootleg (Petaco S.A.)
scramrf	Horizontal shooter	2	vertical	scramble	Scramble (Recreativos Franco, Spanish bootleg)	1981	bootleg (Recreativos Franco)
scregg	Maze	2	vertical		Scrambled Egg	1983	Technos Japan
screwloo	Action	2	horizontal		Screw Loose (prototype)	1983	Mylstar
scross	Racing	2	horizontal		Stadium Cross (World)	1992	Sega
scrossa	Racing	2	horizontal	scross	Stadium Cross (World, linkable)	1992	Sega
scrossu	Racing	2	horizontal	scross	Stadium Cross (US)	1992	Sega
scudhamm	Misc	2	vertical		Scud Hammer (ver 1.4)	1994	Jaleco
scudhamma	Misc	2	vertical	scudhamm	Scud Hammer (older version?)	1994	Jaleco
sderby	Casino	2	horizontal		Super Derby (Playmark, v.07.03)	1996	Playmark
sderbya	Casino	2	horizontal	sderby	Super Derby (Playmark, v.10.04)	1996	Playmark
sdfight	Fighting	2	horizontal		SD Fighters (Korea)	1996	SemiCom / Tirano
sdgndmps	Horizontal shooter	2	horizontal		SD Gundam Psycho Salamander no Kyoui	1991	Banpresto / Bandai
sdi	Shooter	2	horizontal		SDI - Strategic Defense Initiative (Japan, newer, System 16A, FD1089B 317-0027)	1987	Sega
sdia	Shooter	2	horizontal	sdi	SDI - Strategic Defense Initiative (Japan, old, System 16A, FD1089B 317-0027)	1987	Sega
sdib	Shooter	2	horizontal	sdi	SDI - Strategic Defense Initiative (System 16B, FD1089A 317-0028)	1987	Sega
sdibl	Shooter	2	horizontal	sdi	SDI - Strategic Defense Initiative (bootleg, original hardware)	1987	bootleg
sdibl2	Shooter	2	horizontal	sdi	SDI - Strategic Defense Initiative (bootleg, set 1)	1987	bootleg
sdibl3	Shooter	2	horizontal	sdi	SDI - Strategic Defense Initiative (bootleg, set 2)	1987	bootleg
sdibl4	Shooter	2	horizontal	sdi	SDI - Strategic Defense Initiative (bootleg, set 3)	1987	bootleg
sdibl5	Shooter	2	horizontal	sdi	SDI - Strategic Defense Initiative (bootleg, set 4)	1987	bootleg
sdibl6	Shooter	2	horizontal	sdi	SDI - Strategic Defense Initiative (bootleg, set 5)	1987	bootleg
sdodgeb	Sports	2	horizontal		Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu	1996	Technos Japan
sdodgebh	Sports	2	horizontal	sdodgeb	Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu (Secret Character Hack)	1996	hack
sdojak	Vertical shooter	2	vertical	ddpsdoj	DoDonPachi SaiDaiOuJou & Knuckles (CaveDwellers Hack)	2021	hack
sdungeon	Action / Maze	2	vertical		Space Dungeon	1981	Taito America Corporation
sdungeona	Action / Maze	2	vertical	sdungeon	Space Dungeon (larger roms)	1981	Taito America Corporation
searchar	Run & gun	2	vertical		SAR - Search And Rescue (World)	1989	SNK
searcharj	Run & gun	2	vertical	searchar	SAR - Search And Rescue (Japan version 3)	1989	SNK
searcharu	Run & gun	2	vertical	searchar	SAR - Search And Rescue (US)	1989	SNK
searchey	Puzzle	2	horizontal		Search Eye (English / Korean / Japanese / Italian)	1999	Yun Sung
searcheya	Puzzle	2	horizontal	searchey	Search Eye (English / Korean)	1999	Yun Sung
searchp2	Puzzle	2	horizontal		Search Eye Plus V2.0	1999	Yun Sung
seawolf2	Vertical shooter	2	horizontal		Sea Wolf II	1978	Dave Nutting Associates / Midway
seawolft	Horizontal shooter	2	horizontal	sauro	Sea Wolf (Tecfri)	1987	Tecfri
secretag	Run & gun	2	horizontal		Secret Agent (World, revision 3)	1989	Data East Corporation
secretagj	Run & gun	2	horizontal	secretag	Secret Agent (Japan, revision 2)	1989	Data East Corporation
sectionz	Horizontal shooter	2	horizontal		Section Z (US)	1985	Capcom
sectionza	Horizontal shooter	2	horizontal	sectionz	Section Z (Japan, rev. A)	1985	Capcom
sectrzon	Horizontal shooter	2	vertical	seicross	Sector Zone (set 1)	1984	Nichibutsu / Alice
sectrzona	Horizontal shooter	2	vertical	seicross	Sector Zone (set 2)	1984	Nichibutsu / Alice
seganinj	Run & gun	2	horizontal		Sega Ninja (315-5102)	1985	Sega
seganinju	Run & gun	2	horizontal	seganinj	Sega Ninja (not encrypted)	1985	Sega
seicross	Horizontal shooter	2	vertical		Seicross (set 1)	1984	Nichibutsu / Alice
seicrossa	Horizontal shooter	2	vertical	seicross	Seicross (set 2)	1984	Nichibutsu / Alice
selfeena	Maze	2	horizontal		Sel Feena	1991	East Technology
semibase	Sports	2	horizontal		MuHanSeungBu (SemiCom Baseball) (Korea)	1997	SemiCom / DMD
sengekis	Vertical shooter	2	vertical		Sengeki Striker (Asia)	1997	Kaneko / Warashi
sengekisj	Vertical shooter	2	vertical	sengekis	Sengeki Striker (Japan)	1997	Kaneko / Warashi
sengk3eb	Beat 'em up	2	horizontal	sengoku3	Sengoku 3 / Sengoku Densho 2001 (Green Blue, Hack)	2010-2013	hack
sengk3fd	Beat 'em up	2	horizontal	sengoku3	Sengoku 3 / Sengoku Densho 2001 (Fully Decrypted)	2001	Noise Factory / SNK
sengk3fs	Beat 'em up	2	horizontal	sengoku3	Sengoku 3 / Sengoku Densho 2001 (Demeanor, Hack)	2020	hack
sengok3i	Beat 'em up	2	horizontal	sengoku3	Sengoku 3 / Sengoku Densho 2001 (Infinite Power, Hack)	2020	hack
sengoku	Beat 'em up	2	horizontal		Sengoku / Sengoku Denshou (NGM-017 ~ NGH-017)	1991	SNK
sengoku2	Beat 'em up	2	horizontal		Sengoku 2 / Sengoku Denshou 2	1993	SNK
sengoku2rb	Beat 'em up	2	horizontal	sengoku2	Sengoku 2 / Sengoku Denshou 2 (Hack, Red Blood v1.18)	2026	Raphael-Boichot
sengoku3	Beat 'em up	2	horizontal		Sengoku 3 / Sengoku Densho 2001 (set 1)	2001	Noise Factory / SNK
sengoku3a	Beat 'em up	2	horizontal	sengoku3	Sengoku 3 / Sengoku Densho 2001 (set 2)	2001	Noise Factory / SNK
sengoku3s	Beat 'em up	2	horizontal	sengoku3	Sengoku 3 / Sengoku Densho 2001 (Evolution 1.0, FCHT hack)	2001	hack
sengokuh	Beat 'em up	2	horizontal	sengoku	Sengoku / Sengoku Denshou (NGH-017, US)	1991	SNK
senjyo	Shooter	2	vertical		Senjyo	1983	Tehkan
senknow	Puzzle	2	horizontal		Sen-Know (Japan)	1999	Kaneko / Kouyousha
senkyu	Puzzle	2	horizontal		Senkyu (Japan, newer)	1995	Seibu Kaihatsu
senkyua	Puzzle	2	horizontal	senkyu	Senkyu (Japan, earlier)	1995	Seibu Kaihatsu
sf	Fighting	2	horizontal		Street Fighter (US, set 1)	1987	Capcom
sf2	Fighting	2	horizontal		Street Fighter II: The World Warrior (World 910522)	1991	Capcom
sf2acc	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Accelerator!, bootleg, set 1)	1992	bootleg
sf2acca	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Accelerator!, bootleg, set 2)	1992	bootleg
sf2accp2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Accelerator Pt.II, bootleg)	1992	bootleg (Testron)
sf2amf	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (L735 Test Rom, bootleg, set 1)	1992	bootleg
sf2amf10	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (L735 Test Rom, bootleg, set 9)	1992	bootleg
sf2amf11	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (L735 Test Rom w/ Mega Co, bootleg)	1992	bootleg
sf2amf12	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (L735 Test Rom, bootleg, set 10)	1992	bootleg
sf2amf13	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (L735 Test Rom, bootleg, set 11)	1992	bootleg
sf2amf14	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (L735 Test Rom, bootleg, set 12)	1992	bootleg
sf2amf2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (L735 Test Rom, bootleg, set 2)	1992	bootleg
sf2amf3	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (L735 Test Rom, bootleg, set 3)	1992	bootleg
sf2amf4	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (L735 Test Rom, bootleg, set 4)	1992	bootleg
sf2amf5	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (L735 Test Rom, bootleg, set 5)	1992	bootleg
sf2amf6	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (L735 Test Rom, bootleg, set 6)	1992	bootleg
sf2amf7	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (L735 Test Rom, bootleg, set 7)	1992	bootleg
sf2amf8	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Anno Test Rom, bootleg)	1992	bootleg
sf2amf9	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (L735 Test Rom, bootleg, set 8)	1992	bootleg
sf2b	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (bootleg, set 1)	1992	bootleg (Playmark)
sf2b2	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (bootleg, set 2)	1992	bootleg
sf2b3	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (bootleg, set 3)	1991	bootleg
sf2b4	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (bootleg, set 4)	1991	bootleg
sf2b5	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (bootleg, earliest, set 5)	1991	bootleg (Playmark)
sf2bhh	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Hung Hsi, bootleg)	1992	bootleg
sf2ce	Fighting	2	horizontal		Street Fighter II': Champion Edition (World 920513)	1992	Capcom
sf2ceb	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Playmark bootleg, set 1)	1992	bootleg (Playmark)
sf2ceb2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, set 1)	1992	bootleg
sf2ceb3	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, set 2)	1992	bootleg
sf2ceb4	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Playmark bootleg, set 2)	1992	bootleg (Playmark)
sf2ceb5	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Playmark bootleg, set 3)	1992	bootleg (Playmark)
sf2ceblp	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (protected bootleg on non-dash board)	1992	bootleg
sf2cebltw	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition ('Taiwan' bootleg with PAL)	1992	bootleg
sf2cebr	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Brasil 920313, v1.0, Hack)	2005	hack (NeoGeo BR Team)
sf2ceda	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (unknown hack)	2012	Drakon
sf2ceea	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (World 920313)	1992	Capcom
sf2ceeab2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, World 920313, set 2)	1992	bootleg
sf2ceeab3	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, World 920313, set 3)	1992	bootleg
sf2ceeabl	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, World 920313, set 1)	1992	bootleg
sf2ceec	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (World 920803)	1992	Capcom
sf2ceh	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Hispanic 990804, hack)	1992	hack
sf2ceja	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Japan 920322)	1992	Capcom
sf2cejab2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, Japan 920322, set 2)	1992	bootleg
sf2cejabl	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, Japan 920322, set 1)	1992	bootleg
sf2cejb	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Japan 920513)	1992	Capcom
sf2cejc	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Japan 920803)	1992	Capcom
sf2cems6a	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Mstreet-6, bootleg, set 1)	1992	bootleg
sf2cet	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Taiwan 920313)	1992	Capcom
sf2ceua	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (USA 920313)	1992	Capcom
sf2ceuab2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, USA 920313, set 2)	1992	bootleg
sf2ceuab3	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, USA 920313, set 3)	1992	bootleg
sf2ceuab4	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, USA 920313, set 4)	1992	bootleg
sf2ceuab5	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, USA 920313, set 5)	1992	bootleg
sf2ceuab6	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, USA 920313, set 6)	1992	bootleg
sf2ceuab7	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, USA 920313, set 7)	1992	bootleg
sf2ceuab8	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, USA 920313, set 8)	1992	bootleg
sf2ceuab9	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, USA 920313, set 9)	1992	bootleg
sf2ceuabl	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, USA 920313, set 1)	1992	bootleg
sf2ceub	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (USA 920513)	1992	Capcom
sf2ceuc	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (USA 920803)	1992	Capcom
sf2ceucbl	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg, USA 920803)	1992	bootleg
sf2ceupl	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Japan 920322, UPL bootleg?)	1992	bootleg (UPL?)
sf2cre	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Re-Edit (Hack, v0.29.7)	2025	Persona
sf2dkot2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Double K.O. Turbo II, bootleg)	1992	bootleg
sf2dongb	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Dongfang Bubai protection, bootleg)	1992	bootleg
sf2ea	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (World 910204)	1991	Capcom
sf2eb	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (World 910214)	1991	Capcom
sf2ebbl	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (TAB Austria, bootleg, set 1)	1992	bootleg
sf2ebbl2	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (TAB Austria, bootleg, set 3)	1992	bootleg
sf2ebbl3	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (TAB Austria, bootleg, set 4)	1992	bootleg
sf2ebbl4	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (TAB Austria, bootleg, set 5)	1992	bootleg
sf2ed	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (World 910318)	1991	Capcom
sf2ee	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (World 910228)	1991	Capcom
sf2ef	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (World 910411)	1991	Capcom
sf2em	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (World 910129)	1991	Capcom
sf2en	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (World 910204, conversion)	1991	Capcom
sf2gm	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Golden Magic, Hack)	2020	hack
sf2hf	Fighting	2	horizontal		Street Fighter II': Hyper Fighting (World 921209)	1992	Capcom
sf2hfj	Fighting	2	horizontal	sf2hf	Street Fighter II' Turbo: Hyper Fighting (Japan 921209)	1992	Capcom
sf2hfjb	Fighting	2	horizontal	sf2hf	Street Fighter II' Turbo: Hyper Fighting (bootleg, set 1)	1992	Capcom
sf2hfjb2	Fighting	2	horizontal	sf2hf	Street Fighter II' Turbo: Hyper Fighting (bootleg, set 2)	1992	Capcom
sf2hfsce	Fighting	2	horizontal	sf2hf	Street Fighter II': Hyper Fighting (Sr. SF Champion Edition v1.4, Hack)	2023	hack
sf2hfu	Fighting	2	horizontal	sf2hf	Street Fighter II': Hyper Fighting (USA 921209)	1992	Capcom
sf2j	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (Japan 911210, CPS-B-13)	1991	Capcom
sf2j17	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (Japan 911210, CPS-B-17)	1991	Capcom
sf2ja	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (Japan 910214)	1991	Capcom
sf2jc	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (Japan 910306)	1991	Capcom
sf2jf	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (Japan 910411)	1991	Capcom
sf2jh	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (Japan 910522)	1991	Capcom
sf2jl	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (Japan 920312)	1991	Capcom
sf2jla	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (Japan 911210, Rev. L)	1991	Capcom
sf2koryu	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Xiang Long, Chinese bootleg, set 1)	1992	bootleg
sf2koryu2	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Xiang Long, Chinese bootleg, set 2)	1992	bootleg
sf2koryu3	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Xiang Long, Chinese bootleg, set 3)	1992	bootleg
sf2koryua	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Xiang Long, Chinese bootleg, set 1, alternate dump)	1992	bootleg
sf2level	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (bootleg with level selection)	1992	bootleg
sf2ly	Fighting	2	horizontal	sf2	Street Fighter II: The World Warrior (with bosses like Champion Edition, Japan 910522, CPS-B-11)	1991	Capcom
sf2md	Fighting	2	horizontal	sf2ce	Street Fighter II': Champion Edition (Magic Delta, bootleg)	1992	bootleg
sf2mdt	Fighting	2	horizontal	sf2ce	Street Fighter II': Magic Delta Turbo (bootleg, set 1)	1992	bootleg
sf2mdta	Fighting	2	horizontal	sf2ce	Street Fighter II': Magic Delta Turbo (bootleg, set 2)	1993	bootleg
